bhuman/GameController	jankotek/mapdb	junit-team/junit	ornicar/lila	niklasf/python-chess	
2	13	75	2	3	
1	13	75	2	3	
1	13	75	2	3	
1	13	75	2	3	
1	13	75	2	3	
1	13	75	2	3	
1	13	75	2	3	
1	15	74	2	3	
1	15	74	2	3	
1	15	74	2	3	
1	14	74	2	3	
1	15	76	3	3	
1	13	76	3	3	
1	14	75	3	3	
1	14	75	3	3	
1	16	74	3	3	
1	16	75	3	3	
1	11	75	3	3	
1	13	74	3	3	
1	13	74	3	3	
1	13	74	3	3	
1	11	74	3	3	
1	12	75	3	3	
1	12	75	3	3	
1	12	75	3	3	
2	13	75	3	3	
2	13	75	3	3	
2	13	76	3	3	
2	14	78	3	3	
2	14	78	3	3	
2	11	78	3	3	
2	12	78	3	3	
2	11	78	3	3	
2	11	78	3	3	
2	12	78	3	3	
2	12	78	3	3	
2	12	78	3	3	
2	12	78	3	3	
2	12	78	3	3	
2	12	78	3	3	
2	12	78	3	3	
2	14	78	0	3	
2	14	78	0	3	
2	16	79	0	3	
2	18	79	0	3	
2	18	79	0	3	
2	19	79	0	3	
2	18	79	0	3	
2	18	79	0	3	
2	18	79	0	3	
2	19	79	0	3	
2	21	79	0	3	
2	19	79	0	3	
2	20	79	0	3	
2	27	79	0	3	
2	27	79	0	3	
2	27	79	0	3	
2	28	79	0	3	
2	29	79	0	3	
2	28	79	0	3	
2	29	80	0	3	
2	29	83	0	3	
2	30	83	0	3	
2	29	85	0	3	
2	30	85	0	3	
2	31	85	0	3	
2	33	85	0	3	
2	32	86	0	3	
2	32	86	0	3	
2	32	87	0	3	
2	33	87	0	3	
2	33	87	0	3	
2	36	87	0	3	
2	36	88	0	3	
2	36	88	0	3	
2	35	88	0	3	
2	35	88	0	3	
2	37	88	0	3	
2	37	88	0	3	
2	37	88	0	3	
2	37	88	0	3	
2	34	89	0	3	
2	33	89	0	3	
2	31	92	0	3	
2	28	92	0	3	
2	28	92	0	3	
2	27	92	0	3	
2	25	94	0	3	
2	25	94	0	3	
2	25	95	0	3	
2	25	95	0	3	
2	25	94	0	3	
2	25	95	0	3	
2	24	95	1	3	
2	24	95	1	3	
2	24	97	1	3	
2	24	97	1	3	
2	25	98	2	3	
2	25	98	2	3	
2	26	98	2	3	
2	25	98	5	3	
2	27	98	3	3	
2	27	98	3	4	
2	28	98	3	4	
2	28	98	2	4	
2	26	98	2	5	
2	25	98	1	5	
2	25	98	1	5	
2	25	98	1	5	
2	25	98	1	5	
2	25	98	1	5	
2	25	98	1	5	
2	25	98	1	5	
2	26	98	1	5	
2	30	99	1	5	
2	31	99	1	5	
2	31	99	1	5	
2	31	100	1	5	
2	31	101	1	5	
2	31	101	1	5	
2	30	101	1	5	
2	30	101	2	5	
2	32	101	1	5	
2	32	101	1	5	
2	33	101	1	5	
2	33	101	1	5	
2	33	101	1	5	
2	35	101	1	5	
2	33	101	1	5	
2	32	101	1	5	
2	32	102	1	5	
2	32	102	1	5	
2	32	102	1	5	
2	32	102	1	5	
2	32	102	1	5	
2	32	102	1	5	
2	30	103	1	5	
2	32	104	1	5	
2	32	104	1	5	
2	32	104	1	5	
2	30	104	1	1	
2	30	104	1	1	
2	28	104	1	1	
2	26	104	1	2	
2	26	104	1	2	
2	26	104	1	2	
2	27	104	1	2	
2	27	104	1	2	
2	28	104	1	2	
2	28	104	1	2	
2	28	104	1	2	
2	29	104	1	2	
2	29	104	1	2	
2	29	104	1	2	
2	29	104	1	2	
2	29	104	1	2	
2	29	104	1	2	
2	29	104	1	1	
2	29	104	1	1	
2	30	103	1	1	
2	31	104	1	1	
2	32	104	1	1	
2	34	104	1	1	
2	34	104	1	1	
2	35	104	1	1	
2	36	104	1	1	
2	36	104	1	1	
2	37	104	1	1	
2	38	104	1	1	
2	38	104	1	1	
2	39	105	1	1	
2	39	105	1	1	
2	39	107	1	1	
2	39	107	1	1	
2	39	107	1	1	
2	39	107	1	1	
2	38	107	2	1	
2	38	107	2	1	
2	34	107	2	1	
2	33	107	2	1	
2	32	108	2	1	
2	32	109	2	1	
2	32	110	2	1	
2	33	110	2	1	
2	33	110	2	1	
2	34	111	2	1	
2	34	111	2	1	
2	34	114	2	1	
2	34	114	2	1	
2	35	114	2	1	
2	35	118	2	1	
2	36	118	2	1	
2	39	118	2	1	
2	39	121	2	1	
2	39	119	2	1	
2	39	119	2	1	
2	39	120	2	1	
2	38	119	3	1	
2	31	119	3	1	
2	32	119	3	1	
2	31	119	3	1	
2	31	120	3	1	
2	32	120	4	1	
2	33	120	4	1	
2	34	120	3	1	
2	33	120	3	1	
